time,break,turn,noize
1686719009324,0.9941908121109009,0.00040166385588236153,0.005407548509538174
1686719009817,0.011224418878555298,0.9886321425437927,0.00014338055916596204
1686719010317,0.0399947352707386,0.008525083772838116,0.9514801502227783
1686719010828,0.00008437593351118267,0.9922226071357727,0.007693071849644184
1686719011330,0.00036763836396858096,0.9078458547592163,0.09178657084703445
1686719012340,0.08050181716680527,0.008374620229005814,0.9111235737800598
1686719012844,6.149344926598133e-7,0.000029403541702777147,0.9999699592590332
1686719013353,0.00033943852758966386,0.0016266697784885764,0.9980339407920837
1686719013858,4.84259885524807e-8,2.5989820073846204e-7,0.9999996423721313
1686719014366,0.04498523846268654,0.10413774847984314,0.850877046585083
1686719014868,0.013368738815188408,0.014435882680118084,0.9721953868865967
1686719015378,0.0016351491212844849,0.0069720083847641945,0.9913928508758545
1686719015881,0.0009065760532394052,0.0004098125209566206,0.9986836314201355
1686719016899,0.9665340781211853,0.000931846909224987,0.03253406658768654
1686719017402,0.906147837638855,0.0013330455403774977,0.09251914173364639
1686719018414,0.23851439356803894,0.006521441508084536,0.7549642324447632
1686719018917,0.1692601889371872,0.000025138495402643457,0.8307146430015564
1686719019426,0.008527685888111591,0.0024644897785037756,0.989007830619812
1686719020438,0.9996603727340698,0.00007375897257588804,0.0002658155281096697
1686719020947,0.9999980926513672,0.0000013486750276570092,5.944586973782862e-7
1686719021449,0.9999992847442627,5.216529985752061e-10,7.671920911889174e-7
1686719021956,1,1.2748395394890366e-10,6.111299910571688e-9
1686719022461,0.9994995594024658,0.00031689798925071955,0.00018348701996728778
1686719023472,0.05610816553235054,0.04225849732756615,0.9016333222389221
1686719024483,0.16254755854606628,0.07420835644006729,0.763244092464447
1686719024991,0.0005551622598432004,0.0004316731356084347,0.9990132451057434
1686719025493,0.9917457699775696,0.0013112666783854365,0.0069430056028068066
1686719026515,0.9998237490653992,0.000011472188816696871,0.00016486982349306345
1686719027016,0.00002724478326854296,0.0005466211587190628,0.9994261264801025
1686719027519,0.13900113105773926,0.05960492417216301,0.801393985748291
1686719028026,0.9999833106994629,0.0000015674893347750185,0.000015198836990748532
1686719028538,0.9999980926513672,0.0000011185561561433133,8.683232977091393e-7
1686719029044,0.9999138116836548,4.986341650692339e-7,0.0000857251143315807
1686719029548,0.9999992847442627,4.070701553615663e-9,7.558298307230871e-7
1686719030050,0.9999957084655762,4.984357246939908e-7,0.000003812991508311825
1686719030557,0.9992350339889526,0.000725645455531776,0.000039292455767281353
1686719031067,0.0000014940247865524725,0.9976133108139038,0.002385110594332218
1686719031572,0.0000015559136272713658,0.04564862325787544,0.9543498158454895
1686719032073,0.04952923208475113,0.0026285529602319,0.9478421807289124
1686719033087,0.00033118101418949664,0.005495648831129074,0.9941732287406921
1686719033596,0.004618283826857805,0.004718046635389328,0.9906636476516724
1686719034097,0.0007469106931239367,0.000048395035264547914,0.999204695224762
1686719034606,0.00017530280456412584,0.000015607598470523953,0.9998090863227844
1686719035112,0.04403295740485191,0.000035663226299220696,0.9559314250946045
